,avg_expr_CD4_T,pct_expr_CD4_T,logFC_CD4_T,avg_expr_CD8_T,pct_expr_CD8_T,logFC_CD8_T,avg_expr_Macrophage,pct_expr_Macrophage,logFC_Macrophage
GENE283,2.1712365,0.755,0.0,2.311394,0.755,0.20696259,2.417274,0.775,0.0
GENE284,2.2105594,0.755,0.0,2.3906443,0.775,-0.26427364,2.3424942,0.77,0.0
GENE285,2.1747625,0.755,0.0,2.0570688,0.685,-0.37492704,2.3120415,0.74,0.0
GENE286,2.1885633,0.765,0.0,2.3609054,0.755,-0.16992474,2.2425487,0.75,0.0
GENE287,2.2292025,0.785,0.0,2.255042,0.76,0.32357597,2.1848004,0.71,0.0
GENE288,2.1439295,0.735,0.0,2.2268128,0.73,-0.034934044,2.441567,0.77,0.0
GENE289,2.2676013,0.765,0.0,2.3117075,0.77,0.07877731,2.2636154,0.73,0.0
GENE290,2.1244912,0.74,0.0,2.2695577,0.75,0.06477022,2.2726564,0.74,0.0
GENE291,2.2286806,0.765,0.0,2.3223162,0.755,-0.019991398,2.4029815,0.775,0.0
GENE292,2.425563,0.83,0.0,2.3435612,0.765,-0.2294817,2.5095146,0.785,0.0
GENE293,2.438625,0.83,0.0,2.1680121,0.725,-0.46847677,2.1206822,0.71,0.0
GENE294,2.0098302,0.7,0.0,2.3814883,0.775,-0.27790785,2.395541,0.76,0.0
GENE295,2.249431,0.77,0.0,2.1410475,0.71,-0.17625046,2.4726799,0.78,0.0
GENE296,1.9579027,0.7,0.0,2.462001,0.81,-0.17607689,2.2563238,0.74,0.0
GENE297,2.2779408,0.795,0.0,2.2579925,0.755,-0.07996845,2.334122,0.74,0.0
GENE298,2.1834168,0.76,0.0,2.4389482,0.78,0.037153244,2.5141692,0.805,0.0
GENE299,2.176896,0.73,0.0,2.2650993,0.755,-0.028855324,2.3403971,0.76,0.0
GENE300,2.2412853,0.78,0.0,2.3434293,0.785,0.14017773,2.3760622,0.77,0.0
GENE301,2.2946408,0.775,0.0,2.3690467,0.78,-0.123147964,2.336747,0.74,0.0
GENE302,2.1540477,0.75,0.0,2.2712538,0.77,-0.06107521,2.174309,0.7,0.0
GENE303,2.2673256,0.755,0.0,2.2986362,0.755,-0.1388278,2.3213952,0.74,0.0
GENE304,2.1815062,0.78,0.0,2.478972,0.79,-0.08817577,2.297897,0.745,0.0
GENE305,2.1956413,0.77,0.0,2.3117096,0.765,0.40677023,2.3534212,0.745,0.0
GENE306,2.1872494,0.745,0.0,2.3877637,0.775,-0.17306471,2.3574317,0.74,0.0
GENE307,2.2831059,0.8,0.0,2.2344737,0.755,-0.015429974,2.4310596,0.77,0.0
GENE308,2.3419096,0.8,0.0,2.2663627,0.745,-0.02774477,2.142139,0.7,0.0
GENE309,2.2494996,0.745,0.0,2.255664,0.745,0.035979748,2.3884008,0.775,0.0
GENE310,2.0558062,0.695,0.0,2.485834,0.825,-0.006397724,2.4367573,0.78,0.0
GENE311,2.1736374,0.735,0.0,2.3218648,0.785,-0.15049171,2.3176353,0.735,0.0
GENE312,2.235293,0.76,0.0,2.2762356,0.75,0.1748743,2.1613212,0.7,0.0
GENE313,2.1271832,0.735,0.0,2.3209095,0.75,-0.12382841,2.3262691,0.77,0.0
GENE314,2.1051269,0.725,0.0,2.2643127,0.75,0.07143545,2.3172808,0.74,0.0
GENE315,2.1668785,0.73,0.0,2.1855268,0.72,-0.014721394,2.375755,0.76,0.0
GENE316,2.1929307,0.76,0.0,2.1963573,0.74,-0.17719316,2.3268092,0.75,0.0
GENE317,2.2471318,0.775,0.0,2.2528415,0.74,-0.19075537,2.5158057,0.785,0.0
GENE318,2.076102,0.73,0.0,2.4099393,0.78,-0.15200281,2.348725,0.77,0.0
GENE319,2.1796153,0.745,0.0,2.3905287,0.785,0.033014774,2.3334672,0.75,0.0
GENE320,2.0395985,0.695,0.0,2.129982,0.71,0.286304,2.2636294,0.74,0.0
GENE321,2.1566079,0.755,0.0,2.3098648,0.765,-0.41078806,2.1408677,0.7,0.0
GENE322,2.0684052,0.72,0.0,2.5347354,0.825,0.09391785,2.2424026,0.73,0.0
GENE323,2.3397765,0.8,0.0,2.1719904,0.72,0.076756954,2.4524374,0.765,0.0
GENE324,2.1239989,0.72,0.0,2.248729,0.75,-0.18971777,2.263842,0.74,0.0
GENE325,2.1577811,0.745,0.0,2.2581205,0.75,-0.32681036,2.3187263,0.725,0.0
GENE326,2.189152,0.75,0.0,2.2908852,0.76,-0.028855324,2.277934,0.715,0.0
GENE327,2.1913335,0.755,0.0,2.2392313,0.75,0.12748957,2.29038,0.73,0.0
GENE328,2.2355433,0.76,0.0,2.378943,0.765,-0.18830347,2.1806045,0.705,0.0
GENE329,2.1914349,0.76,0.0,2.214001,0.725,-0.25525713,2.275919,0.74,0.0
GENE330,2.0798795,0.72,0.0,2.2346122,0.74,-0.1299305,2.2603056,0.74,0.0
GENE331,2.2419817,0.78,0.0,2.3280551,0.76,-0.1797061,2.1313052,0.7,0.0
GENE332,2.161933,0.745,0.0,2.226305,0.73,-0.10469723,2.291028,0.75,0.0
GENE333,2.101767,0.735,0.0,2.1634905,0.735,-0.26303434,2.313137,0.755,0.0
GENE334,2.1356542,0.735,0.0,2.098795,0.7,0.27332354,2.3180687,0.75,0.0
GENE335,2.133309,0.735,0.0,2.0670998,0.7,0.016582966,2.3035347,0.77,0.0
GENE336,2.231602,0.77,0.0,2.2411559,0.75,0.15591812,2.2182994,0.72,0.0
GENE337,2.1346095,0.725,0.0,2.3466415,0.78,-0.014499664,2.3511453,0.77,0.0
GENE338,2.0584805,0.705,0.0,2.4236803,0.775,0.006049156,2.365857,0.745,0.0
GENE339,2.0849445,0.725,0.0,2.383239,0.775,-0.079800606,2.5596948,0.81,0.0
GENE340,2.3261817,0.795,0.0,2.2823594,0.765,-0.014426708,2.4083054,0.77,0.0
GENE341,2.123076,0.725,0.0,2.1952028,0.71,-0.08702326,2.2780638,0.74,0.0
GENE342,2.1495013,0.74,0.0,2.200719,0.725,0.050626278,2.344296,0.735,0.0
GENE343,1.9756477,0.7,0.0,2.2040403,0.765,0.0,2.4503634,0.79,0.0
GENE344,2.2442462,0.765,0.0,2.1098142,0.72,-0.34592724,2.3447678,0.755,0.0
GENE345,2.2653217,0.75,0.0,2.2947958,0.745,0.07434702,2.2678747,0.71,0.0
GENE346,2.1384401,0.74,0.0,2.3267322,0.77,0.40525627,2.1747859,0.685,0.0
GENE347,2.263831,0.775,0.0,2.1997154,0.73,-0.21299362,2.243236,0.725,0.0
GENE348,2.243057,0.78,0.0,2.137147,0.71,0.051927567,2.400409,0.765,0.0
GENE349,2.3717403,0.8,0.0,2.278798,0.73,-0.053938866,2.514508,0.775,0.0
GENE350,2.382841,0.825,0.0,2.3432603,0.77,-0.24511242,2.2618876,0.74,0.0
GENE351,2.0207314,0.695,0.0,2.346451,0.8,-0.25218725,2.4167318,0.775,0.0
GENE352,2.1575615,0.75,0.0,2.2704155,0.765,0.30875254,2.387575,0.77,0.0
GENE353,2.2055726,0.73,0.0,2.4194975,0.805,0.04102707,2.4874341,0.765,0.0
GENE354,2.3660402,0.79,0.0,2.2964926,0.75,0.19544554,2.4514494,0.775,0.0
GENE355,2.2026243,0.77,0.0,2.3236723,0.765,-0.24158621,2.3082192,0.725,0.0
GENE356,2.0978436,0.72,0.0,2.080454,0.705,0.008127689,2.3714101,0.755,0.0
GENE357,2.2022433,0.765,0.0,2.2129943,0.73,-0.014797211,2.23141,0.745,0.0
GENE358,2.2361217,0.78,0.0,2.1322272,0.695,0.4854269,2.3975015,0.75,0.0
GENE359,2.2633557,0.785,0.0,2.1933312,0.735,-0.2796173,2.3283768,0.76,0.0
GENE360,2.260029,0.775,0.0,2.1812048,0.725,-0.15444613,2.5299327,0.8,0.0
GENE361,2.2699873,0.785,0.0,2.3002465,0.75,0.2518363,2.4242518,0.77,0.0
GENE362,2.0330992,0.69,0.0,2.1592824,0.73,-0.0894351,2.182889,0.69,0.0
GENE363,2.198279,0.745,0.0,2.4671469,0.79,-0.0061001778,2.2947373,0.74,0.0
GENE364,2.1892529,0.76,0.0,2.1182072,0.71,0.023207188,2.403405,0.76,0.0
GENE365,2.1410635,0.75,0.0,2.1403916,0.745,-0.086414814,2.4366133,0.775,0.0
GENE366,2.2984722,0.81,0.0,2.1828246,0.735,-0.023979187,2.4391901,0.76,0.0
GENE367,2.1628394,0.755,0.0,2.3277209,0.77,-0.09530687,2.4783492,0.79,0.0
GENE368,2.2677298,0.775,0.0,2.3164647,0.78,-0.043068886,2.48801,0.8,0.0
GENE369,2.1743658,0.765,0.0,2.393312,0.77,0.096429825,2.4319596,0.765,0.0
GENE370,2.2308867,0.785,0.0,2.2557588,0.765,0.67564917,2.3836954,0.76,0.0
GENE371,2.0760145,0.71,0.0,2.293968,0.765,-0.17076397,2.3123004,0.73,0.0
GENE372,2.2018042,0.765,0.0,2.4074724,0.8,0.055495262,2.4532247,0.8,0.0
GENE373,2.1902835,0.765,0.0,2.2610607,0.74,-0.1309309,2.4770832,0.78,0.0
GENE374,2.0984938,0.73,0.0,2.342486,0.75,-0.42245483,2.385621,0.775,0.0
GENE375,2.1542945,0.715,0.0,2.21212,0.755,0.11226654,2.5005276,0.805,0.0
GENE376,2.1534395,0.74,0.0,2.3539436,0.775,0.2727661,2.2541115,0.715,0.0
GENE377,2.2317812,0.76,0.0,2.352713,0.77,0.02774477,2.3542051,0.74,0.0
GENE378,2.2052724,0.745,0.0,2.2389078,0.755,0.360672,2.3663921,0.755,0.0
GENE379,2.1339397,0.725,0.0,2.2545407,0.74,-0.14438963,2.2695756,0.74,0.0
GENE380,2.0693138,0.68,0.0,2.1705234,0.715,-0.1748743,2.4677734,0.78,0.0
GENE381,1.9793695,0.685,0.0,2.3264472,0.765,-0.26303434,2.338989,0.755,0.0
GENE382,2.4614973,0.835,0.0,2.1438906,0.705,0.059500694,2.4278822,0.78,0.0
GENE383,2.1811178,0.745,0.0,2.2394547,0.755,0.25457287,2.4007463,0.765,0.0
GENE384,2.2463295,0.755,0.0,2.2840369,0.735,-0.13064957,2.4477181,0.78,0.0
GENE385,2.1889708,0.75,0.0,2.2571344,0.76,0.07251263,2.3285265,0.76,0.0
GENE386,2.0440187,0.71,0.0,2.17356,0.725,-0.30279636,2.3838487,0.75,0.0
GENE387,2.1887155,0.77,0.0,2.2315512,0.745,0.42365074,2.4482224,0.76,0.0
GENE388,2.0095773,0.695,0.0,2.2111309,0.735,0.34015894,2.462102,0.76,0.0
GENE389,2.0007992,0.7,0.0,2.104471,0.705,0.12156153,2.2025537,0.7,0.0
GENE390,2.2300053,0.755,0.0,2.321617,0.765,-0.30633116,2.364645,0.77,0.0
GENE391,2.2446334,0.765,0.0,2.3249586,0.77,-0.12675714,2.0889595,0.675,0.0
GENE392,2.2075164,0.775,0.0,2.266294,0.74,0.11657524,2.5184243,0.81,0.0
GENE393,2.064678,0.71,0.0,2.206048,0.74,0.27417517,2.3779557,0.765,0.0
GENE394,2.325223,0.775,0.0,2.3373303,0.79,0.10153818,2.3147104,0.73,0.0
GENE395,2.2284696,0.775,0.0,2.3165739,0.75,0.073657036,2.2777903,0.74,0.0
GENE396,2.0870025,0.725,0.0,2.4381227,0.8,-0.4094782,2.4136581,0.775,0.0
GENE397,2.2885559,0.78,0.0,2.2370596,0.725,-0.1309309,2.349774,0.745,0.0
GENE398,2.3143206,0.785,0.0,2.3181112,0.77,0.2655902,2.4149544,0.75,0.0
GENE399,2.1621752,0.74,0.0,2.3500144,0.77,-0.053938866,2.412924,0.78,0.0
GENE400,2.1780803,0.735,0.0,2.2670393,0.755,-0.1217885,2.1610913,0.68,0.0
GENE401,2.1271405,0.72,0.0,2.2278936,0.735,0.05012369,2.4431982,0.79,0.0
GENE402,2.198221,0.76,0.0,2.074189,0.68,0.3048544,2.3058934,0.755,0.0
GENE403,2.1060386,0.72,0.0,2.3161304,0.785,-0.14901018,2.3316686,0.74,0.0
GENE404,2.3864868,0.815,0.0,2.380501,0.775,0.3874817,2.1588345,0.665,0.0
GENE405,2.2428591,0.765,0.0,2.1599383,0.73,-0.3201785,2.2314837,0.71,0.0
GENE406,2.1798806,0.74,0.0,2.3773463,0.765,-0.16764402,2.5484564,0.815,0.0
GENE407,2.1797326,0.75,0.0,2.1779895,0.74,0.42413998,2.448495,0.795,0.0
GENE408,2.026618,0.69,0.0,2.199151,0.745,-0.062060833,2.2739577,0.725,0.0
GENE409,2.2508137,0.775,0.0,1.9872986,0.665,-0.20125818,2.25723,0.74,0.0
GENE410,2.2440603,0.765,0.0,2.3546362,0.76,0.17607689,2.2794952,0.71,0.0
GENE411,2.3144503,0.785,0.0,2.1878123,0.725,0.311944,2.5102293,0.805,0.0
GENE412,2.2634447,0.75,0.0,2.2404895,0.72,-0.0853076,2.3004014,0.74,0.0
GENE413,2.1642787,0.755,0.0,2.4620502,0.79,-0.20511436,2.232365,0.725,0.0
GENE414,2.04087,0.7,0.0,2.358778,0.785,-0.112110615,2.4330049,0.77,0.0
GENE415,2.100477,0.725,0.0,2.2894518,0.745,0.115477085,2.2531638,0.74,0.0
GENE416,2.2216494,0.765,0.0,2.2262151,0.745,0.029747486,2.6054058,0.81,0.0
GENE417,2.2010975,0.735,0.0,2.145745,0.71,0.17257929,2.2227411,0.72,0.0
GENE418,2.084862,0.705,0.0,2.1621675,0.725,-0.015106678,2.431556,0.785,0.0
GENE419,2.0531008,0.71,0.0,2.199073,0.715,-0.23446512,2.293414,0.75,0.0
GENE420,2.2600086,0.765,0.0,2.1190257,0.715,-0.13375139,2.2538664,0.73,0.0
GENE421,2.1789613,0.745,0.0,2.092573,0.695,0.35954237,2.284939,0.735,0.0
GENE422,2.360078,0.8,0.0,2.2022488,0.76,-0.30529213,2.2663856,0.71,0.0
GENE423,1.9748664,0.705,0.0,2.4126425,0.795,-0.09999561,2.2879417,0.74,0.0
GENE424,2.2656703,0.77,0.0,2.3190584,0.76,0.104842186,2.3026514,0.745,0.0
GENE425,1.9955384,0.685,0.0,2.1991258,0.74,0.04532385,2.2913418,0.74,0.0
GENE426,2.309781,0.795,0.0,2.2884638,0.75,-0.3753376,2.2478492,0.715,0.0
GENE427,2.21712,0.76,0.0,2.1445663,0.71,-0.37155914,2.3303347,0.745,0.0
GENE428,2.1580415,0.745,0.0,2.2323573,0.73,0.070047855,2.3867233,0.76,0.0
GENE429,2.235294,0.78,0.0,2.1643772,0.705,-0.12928295,2.2520554,0.755,0.0
GENE430,2.3236778,0.795,0.0,2.274344,0.765,-0.06889486,2.3636181,0.745,0.0
GENE431,2.325038,0.81,0.0,2.315188,0.76,-0.014213562,2.311044,0.745,0.0
GENE432,2.2268877,0.765,0.0,2.2432928,0.76,0.10415697,2.3092868,0.72,0.0
GENE433,2.3843753,0.8,0.0,2.2869647,0.755,0.020177841,2.22337,0.715,0.0
GENE434,2.3575666,0.82,0.0,2.1716976,0.735,-0.1022501,2.259843,0.705,0.0
GENE435,2.1287715,0.74,0.0,2.1569834,0.725,0.5490155,2.341869,0.745,0.0
GENE436,2.2502732,0.78,0.0,2.2548733,0.735,0.06228447,2.2755065,0.72,0.0
GENE437,2.0922806,0.725,0.0,2.287201,0.765,-0.07724333,2.4525063,0.79,0.0
GENE438,2.2119355,0.75,0.0,2.371424,0.745,0.012545109,2.3630702,0.76,0.0
GENE439,2.095489,0.74,0.0,2.291354,0.765,0.21681118,2.275977,0.73,0.0
GENE440,2.2923882,0.795,0.0,2.1853385,0.715,-0.11018276,2.3114164,0.74,0.0
GENE441,2.1599457,0.74,0.0,2.1832535,0.725,0.10415697,2.2417967,0.705,0.0
GENE442,2.2148793,0.76,0.0,2.2497437,0.765,0.14789867,2.2414026,0.725,0.0
GENE443,2.003407,0.705,0.0,2.2279465,0.72,0.06904173,2.3583028,0.755,0.0
GENE444,2.2373788,0.755,0.0,2.3452194,0.77,0.23446512,2.5189822,0.805,0.0
GENE445,2.1430986,0.75,0.0,2.2405884,0.76,-0.044622898,2.3622935,0.76,0.0
GENE446,2.1928265,0.745,0.0,2.3296952,0.755,0.08054304,2.4070814,0.765,0.0
GENE447,2.0524235,0.71,0.0,2.2302845,0.74,0.034934044,2.330827,0.73,0.0
GENE448,2.0891356,0.725,0.0,2.3972127,0.785,0.013115406,2.4459038,0.78,0.0
GENE449,2.1541526,0.75,0.0,2.217113,0.755,-0.37569952,2.2767606,0.735,0.0
GENE450,2.073899,0.715,0.0,2.255621,0.765,0.030696869,2.3900895,0.77,0.0
GENE451,2.2760677,0.785,0.0,2.2616785,0.765,0.2738614,2.1344657,0.69,0.0
GENE452,2.2809954,0.775,0.0,2.143529,0.725,0.039746284,2.2383862,0.725,0.0
GENE453,2.0925016,0.735,0.0,2.3447676,0.755,-0.41503763,2.2481418,0.715,0.0
GENE454,2.0321658,0.715,0.0,2.222596,0.735,0.42321157,2.418251,0.75,0.0
GENE455,2.226605,0.755,0.0,2.1544375,0.705,0.13535166,2.3952897,0.765,0.0
GENE456,2.1820304,0.74,0.0,2.5066946,0.825,-0.38618279,2.4414186,0.765,0.0
GENE457,2.3218133,0.805,0.0,2.2286425,0.745,0.09548044,2.2748878,0.73,0.0
GENE458,2.3224413,0.775,0.0,2.2399943,0.725,0.082071304,2.1444955,0.695,0.0
GENE459,2.2369525,0.79,0.0,2.1506233,0.715,-0.19364119,2.3103619,0.74,0.0
GENE460,2.2305346,0.755,0.0,2.261204,0.755,0.0,2.249403,0.73,0.0
GENE461,2.159914,0.745,0.0,2.1795163,0.74,-0.015347958,2.3899674,0.785,0.0
GENE462,2.1512094,0.735,0.0,2.271959,0.735,-0.09953594,2.4089696,0.765,0.0
GENE463,2.1950178,0.75,0.0,2.2365324,0.745,0.14104366,2.2901423,0.745,0.0
GENE464,2.1451526,0.74,0.0,2.4235609,0.795,-0.3516755,2.2805588,0.725,0.0
GENE465,2.248881,0.77,0.0,2.184521,0.715,-0.028999805,2.375494,0.76,0.0
GENE466,2.1934083,0.755,0.0,2.0175571,0.71,-0.40439034,2.3939326,0.755,0.0
GENE467,2.0835328,0.71,0.0,2.3363252,0.76,-0.2691865,2.4780333,0.79,0.0
GENE468,2.1404998,0.735,0.0,2.2344158,0.745,-0.38950253,2.4121096,0.78,0.0
GENE469,2.2972543,0.775,0.0,2.194928,0.75,-0.055956364,2.542097,0.81,0.0
GENE470,2.2747626,0.785,0.0,2.2196112,0.755,-0.015266895,2.284424,0.75,0.0
GENE471,2.3210478,0.795,0.0,2.3536215,0.785,-0.13155937,2.3521338,0.76,0.0
GENE472,2.1683922,0.765,0.0,2.1907587,0.74,-0.17088461,2.3475769,0.75,0.0
GENE473,2.1926627,0.75,0.0,2.294377,0.77,-0.1682005,2.496568,0.81,0.0
GENE474,2.2098107,0.72,0.0,2.4496872,0.81,-0.1159935,2.2692313,0.72,0.0
GENE475,2.1022377,0.71,0.0,2.3635414,0.77,-0.058103085,2.4018216,0.78,0.0
GENE476,2.2981923,0.78,0.0,2.1698165,0.725,0.092610836,2.481099,0.775,0.0
GENE477,2.1777864,0.76,0.0,2.2212615,0.73,0.0,2.3624864,0.755,0.0
GENE478,2.1473305,0.75,0.0,2.2988782,0.765,-0.30718136,2.1506221,0.695,0.0
GENE479,2.2789788,0.79,0.0,2.3921566,0.775,0.18662167,2.414736,0.77,0.0
GENE480,2.014711,0.695,0.0,2.4130073,0.8,0.0140070915,2.2785397,0.755,0.0
GENE481,2.3659687,0.785,0.0,2.2625382,0.765,-0.0707345,2.2822127,0.745,0.0
GENE482,2.189709,0.765,0.0,2.1964366,0.735,-0.29188967,2.2774339,0.715,0.0
GENE483,2.2710314,0.78,0.0,2.152488,0.72,-0.122205734,2.249968,0.735,0.0
GENE484,2.2972333,0.785,0.0,2.2435462,0.735,-0.12737942,2.193034,0.7,0.0
GENE485,2.0854974,0.72,0.0,2.2997546,0.76,0.08325529,2.292467,0.725,0.0
GENE486,2.2601159,0.75,0.0,2.143223,0.725,0.20238924,2.359349,0.765,0.0
GENE487,2.1914783,0.755,0.0,2.3003469,0.765,-0.14086246,2.2203062,0.73,0.0
GENE488,2.3069541,0.795,0.0,2.2640107,0.765,0.3778472,2.4583285,0.775,0.0
GENE489,2.329212,0.79,0.0,2.1597898,0.72,-0.06307888,2.2678254,0.72,0.0
GENE490,2.162718,0.725,0.0,2.1499968,0.72,0.13972473,2.2741406,0.75,0.0
GENE491,2.1006134,0.735,0.0,2.1044707,0.71,0.0076942444,2.2355845,0.735,0.0
GENE492,2.3296273,0.78,0.0,2.2074432,0.76,-0.024384022,2.3749626,0.78,0.0
GENE493,2.1909125,0.75,0.0,2.263822,0.73,0.55737686,2.2077367,0.71,0.0
GENE494,2.1453059,0.73,0.0,2.2504177,0.755,0.42170143,2.4929612,0.81,0.0
GENE495,2.0729184,0.71,0.0,2.2489133,0.765,0.24100828,2.4077218,0.765,0.0
GENE496,2.2326832,0.775,0.0,2.3877668,0.79,0.0,2.4060748,0.775,0.0
GENE497,2.4081511,0.825,0.0,1.9008963,0.625,0.050626278,2.4565914,0.775,0.0
GENE498,2.1814342,0.76,0.0,2.271179,0.74,-0.19719219,2.4389546,0.795,0.0
GENE499,2.1029234,0.725,0.0,2.226424,0.75,-0.24355698,2.3952172,0.745,0.0
